Designator,Mid X,Mid Y,Layer,Rotation
C1,54.93,23.50,Top,315.0
C2,23.97,43.66,Top,180.0
C4,12.54,16.99,Top,90.0
C5,59.53,20.32,Top,135.0
C6,16.11,63.18,Top,270.0
C7,12.70,30.64,Top,180.0
C8,26.51,58.10,Top,0.0
C9,37.47,45.40,Top,180.0
C10, 5.87,26.51,Top,270.0
C11,51.75,14.76,Top,0.0
C12,18.26,20.48,Top,180.0
C13,70.01,44.61,Top,180.0
C14, 8.41,53.66,Top,90.0
C15,46.36,45.40,Top,45.0
C16,34.93,50.32,Top,270.0
C17,70.01,65.72,Top,270.0
C18,18.10,62.55,Top,0.0
C19,18.10,63.66,Top,180.0
C20,11.19,63.18,Top,270.0
C21,57.79,52.39,Top,315.0
C22,23.81,26.83,Top,0.0
C23,51.44, 8.26,Top,180.0
C24,65.25,38.26,Top,90.0
C25,29.05,59.21,Top,180.0
C26,32.54,28.73,Top,0.0
C27,54.13,30.00,Top,90.0
C28,54.45,11.91,Top,270.0
C29,20.64,60.01,Top,90.0
C30,48.42,17.62,Top,0.0
C31,66.36,40.16,Top,270.0
C32,55.09,30.00,Top,270.0
C33,45.09,39.05,Top,270.0
C34,49.53,63.50,Top,0.0
C35,50.48,49.53,Top,225.0
C36,48.42,18.89,Top,0.0
C37,50.32,52.23,Top,135.0
C38,45.40,47.63,Top,315.0
C39,37.78,40.32,Top,0.0
C40,50.48,66.99,Top,0.0
C41,35.88,39.69,Top,270.0
C42,22.38,42.70,Top,270.0
C43,46.20,22.86,Top,90.0
C44,60.80,22.38,Top,45.0
C47,49.53,65.09,Top,0.0
C48,23.97,40.16,Top,180.0
C49,23.50,41.27,Top,180.0
C50,21.75,40.16,Top,0.0
C52,63.66,29.05,Top,45.0
C53,23.97,42.70,Top,0.0
C55,23.02,50.16,Top,0.0
C57,41.27,36.99,Top,180.0
C58,41.27,35.88,Top,0.0
C65,24.45,45.88,Top,180.0
C66,33.34,58.10,Top,180.0
C67,51.44,10.48,Top,0.0
C68,51.44, 9.21,Top,0.0
C70,52.23,51.28,Top,225.0
C80,54.13,17.30,Top,180.0
C107,23.02,52.39,Top,180.0
D1,26.35,33.18,Top,180.0
D2,27.46,29.37,Top,90.0
D3,40.80,64.61,Top,0.0
D4,31.59,33.18,Top,0.0
D5,40.80,62.07,Top,0.0
D6,20.48,67.15,Top,270.0
D7,40.80,67.15,Top,0.0
D8,40.80,69.69,Top,0.0
D10,57.47,55.09,Top,0.0
D11,70.48,55.56,Top,270.0
